route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,5322,"East 34th Street",1609,1,16,9
"ER",1,5323,"East 34th Street",1210,1,12,9
"ER",1,5324,"East 34th Street",1311,1,13,9
"ER",1,5325,"East 34th Street",1611,1,16,9
"ER",1,5326,"East 34th Street",1212,1,12,9
"ER",1,5327,"East 34th Street",1313,1,13,9
"ER",1,5328,"East 34th Street (E R B)",1109,1,11,134
"ER",1,5329,"East 34th Street (E R A)",1613,1,16,133
"ER",1,5330,"East 34th Street (E R B)",1407,1,14,134
"ER",1,5331,"East 34th Street (E R A)",1507,1,15,133
"ER",1,5332,"East 34th Street (E R B)",1214,1,12,134
"ER",1,5333,"East 34th Street (E R A)",1315,1,13,133
"ER",1,5334,"East 34th Street (E R B)",1111,1,11,134
"ER",1,5335,"East 34th Street (E R A)",1615,1,16,133
"ER",1,5336,"East 34th Street (E R B)",1409,1,14,134
"ER",1,5337,"East 34th Street (E R A)",1509,1,15,133
"ER",1,5338,"East 34th Street (E R B)",1216,1,12,134
"ER",1,5339,"East 34th Street (E R A)",1317,1,13,133
"ER",1,5340,"East 34th Street (E R B)",1113,1,11,134
"ER",1,5341,"East 34th Street (E R A)",1617,1,16,133
"ER",1,5342,"East 34th Street (E R B)",1411,1,14,134
"ER",1,5343,"East 34th Street (E R A)",1511,1,15,133
"ER",1,5344,"East 34th Street (E R B)",1218,1,12,134
"ER",1,5345,"East 34th Street (E R A)",1319,1,13,133
"ER",1,5346,"East 34th Street (E R B)",1115,1,11,134
"ER",1,5347,"East 34th Street",1619,1,16,9
"ER",1,5348,"East 34th Street",1220,1,12,9
"ER",1,5349,"East 34th Street",1321,1,13,9
"ER",1,5350,"Wall St./Pier 11 (E R A)",1102,0,11,69
"ER",1,5351,"Wall St/Pier 11 (E R B)",1201,0,12,135
"ER",1,5352,"Wall St./Pier 11 (E R A)",1302,0,13,69
"ER",1,5353,"Wall St/Pier 11 (E R B)",1401,0,14,135
"ER",1,5354,"Wall St./Pier 11 (E R A)",1502,0,15,69
"ER",1,5355,"Wall St/Pier 11 (E R B)",1602,0,16,135
"ER",1,5356,"Wall St./Pier 11 (E R A)",1104,0,11,69
"ER",1,5357,"Wall St/Pier 11 (E R B)",1203,0,12,135
"ER",1,5358,"Wall St./Pier 11 (E R A)",1304,0,13,69
"ER",1,5359,"Wall St/Pier 11 (E R B)",1403,0,14,135
"ER",1,5360,"Wall St./Pier 11 (E R A)",1504,0,15,69
"ER",1,5361,"Wall St/Pier 11 (E R B)",1604,0,16,135
"ER",1,5362,"Wall St./Pier 11 (E R A)",1106,0,11,69
"ER",1,5363,"Wall St/Pier 11 (E R B)",1205,0,12,135
"ER",1,5364,"Wall St./Pier 11 (E R A)",1306,0,13,69
"ER",1,5365,"Wall St/Pier 11 (E R B)",1405,0,14,135
"ER",1,5366,"Wall St./Pier 11 (E R A)",1506,0,15,69
"ER",1,5367,"Wall St/Pier 11 (E R B)",1606,0,16,135
"ER",1,5368,"Wall St./Pier 11 (E R A)",1108,0,11,69
"ER",1,5369,"Wall St/Pier 11 (E R B)",1207,0,12,135
"ER",1,5370,"Wall St./Pier 11",1308,0,13,12
"ER",1,5371,"Wall St./Pier 11",1608,0,16,12
"ER",1,5372,"Wall St./Pier 11",1209,0,12,12
"ER",1,5373,"Wall St./Pier 11",1310,0,13,12
"ER",1,5374,"Wall St./Pier 11",1610,0,16,12
"ER",1,5375,"Wall St./Pier 11",1211,0,12,12
"ER",1,5376,"Wall St./Pier 11",1312,0,13,12
"ER",1,5377,"Wall St./Pier 11",1612,0,16,12
"ER",1,5378,"Wall St./Pier 11",1213,0,12,12
"ER",1,5379,"Wall St./Pier 11 (E R A)",1314,0,13,69
"ER",1,5380,"Wall St/Pier 11 (E R B)",1110,0,11,135
"ER",1,5381,"Wall St./Pier 11 (E R A)",1614,0,16,69
"ER",1,5382,"Wall St/Pier 11 (E R B)",1408,0,14,135
"ER",1,5383,"Wall St./Pier 11 (E R A)",1508,0,15,69
"ER",1,5384,"Wall St/Pier 11 (E R B)",1215,0,12,135
"ER",1,5385,"Wall St./Pier 11 (E R A)",1316,0,13,69
"ER",1,5386,"Wall St/Pier 11 (E R B)",1112,0,11,135
"ER",1,5387,"Wall St./Pier 11 (E R A)",1616,0,16,69
"ER",1,5388,"Wall St/Pier 11 (E R B)",1410,0,14,135
"ER",1,5389,"Wall St./Pier 11 (E R A)",1510,0,15,69
"ER",1,5390,"Wall St/Pier 11 (E R B)",1217,0,12,135
"ER",1,5391,"Wall St./Pier 11 (E R A)",1318,0,13,69
"ER",1,5392,"Wall St/Pier 11 (E R B)",1114,0,11,135
"ER",1,5393,"Wall St./Pier 11 (E R A)",1618,0,16,69
"ER",1,5394,"Wall St/Pier 11 (E R B)",1412,0,14,135
"ER",1,5395,"Wall St./Pier 11 (E R A)",1512,0,15,69
"ER",1,5396,"Wall St/Pier 11 (E R B)",1219,0,12,135
"ER",1,5397,"Wall St./Pier 11",1320,0,13,12
"ER",1,5398,"Wall St./Pier 11",1620,0,16,12
"ER",1,5399,"Wall St./Pier 11",1221,0,12,12
"RS",1,5400,"Ferry Point Park",2401,1,24,145
"RS",1,5401,"Ferry Point Park",2501,1,25,145
"RS",1,5402,"Ferry Point Park",2601,1,26,145
"RS",1,5403,"Ferry Point Park",2202,1,22,145
"RS",1,5404,"Ferry Point Park",2302,1,23,145
"RS",1,5405,"Ferry Point Park",2403,1,24,145
"RS",1,5406,"Ferry Point Park",2603,1,26,145
"RS",1,5407,"Ferry Point Park",2104,1,21,145
"RS",1,5408,"Ferry Point Park",2304,1,23,145
"RS",1,5409,"Ferry Point Park",2405,1,24,145
"RS",1,5410,"Ferry Point Park",2605,1,26,145
"RS",1,5411,"Ferry Point Park",2204,1,22,145
"RS",1,5412,"Ferry Point Park",2106,1,21,145
"RS",1,5413,"Ferry Point Park",2306,1,23,145
"RS",1,5414,"Ferry Point Park",2504,1,25,145
"RS",1,5415,"Ferry Point Park",2407,1,24,145
"RS",1,5418,"Rockaway",2201,0,22,144
"RS",1,5419,"Rockaway",2301,0,23,144
"RS",1,5420,"Rockaway",2402,0,24,144
"RS",1,5421,"Rockaway",2502,0,25,144
"RS",1,5422,"Rockaway",2602,0,26,144
"RS",1,5423,"Rockaway",2103,0,21,144
"RS",1,5424,"Rockaway",2203,0,22,144
"RS",1,5425,"Rockaway",2303,0,23,144
"RS",1,5426,"Rockaway",2404,0,24,144
"RS",1,5427,"Rockaway",2604,0,26,144
"RS",1,5428,"Rockaway",2105,0,21,144
"RS",1,5429,"Rockaway",2305,0,23,144
"RS",1,5430,"Rockaway",2503,0,25,144
"RS",1,5431,"Rockaway",2406,0,24,144
"RS",1,5432,"Rockaway",2606,0,26,144
"RS",1,5433,"Rockaway",2205,0,22,144
"RS",1,5434,"Rockaway",2107,0,21,144
"SG",1,5437,"Wall St./Pier 11",8301,0,83,150
"SG",1,5438,"Wall St./Pier 11",8401,0,84,138
"SG",1,5439,"Wall St./Pier 11",8102,0,81,138
"SG",1,5440,"Wall St./Pier 11",8202,0,82,138
"SG",1,5441,"Wall St./Pier 11",8303,0,83,138
"SG",1,5442,"Wall St./Pier 11",8403,0,84,138
"SG",1,5443,"Wall St./Pier 11",8104,0,81,138
"SG",1,5444,"Wall St./Pier 11",8204,0,82,138
"SG",1,5445,"Wall St./Pier 11",8405,0,84,138
"SG",1,5446,"Wall St./Pier 11",8106,0,81,138
"SG",1,5447,"Wall St./Pier 11",8206,0,82,138
"SG",1,5448,"Wall St./Pier 11",8407,0,84,138
"SG",1,5449,"Wall St./Pier 11",8108,0,81,138
"SG",1,5450,"Wall St./Pier 11",8208,0,82,138
"SG",1,5451,"Wall St./Pier 11",8409,0,84,138
"SG",1,5452,"Wall St./Pier 11",8305,0,83,138
"SG",1,5453,"Wall St./Pier 11",8110,0,81,138
"SG",1,5454,"Wall St./Pier 11",8210,0,82,138
"SG",1,5455,"Wall St./Pier 11",8411,0,84,138
"SG",1,5456,"Wall St./Pier 11",8307,0,83,138
"SG",1,5457,"Wall St./Pier 11",8112,0,81,138
"SG",1,5458,"Wall St./Pier 11",8212,0,82,138
"SG",1,5459,"Midtown West/W 39th St-Pier 79",8101,1,81,16
"SG",1,5460,"Midtown West/W 39th St-Pier 79",8201,1,82,139
"SG",1,5461,"Midtown West/W 39th St-Pier 79",8302,1,83,139
"SG",1,5462,"Midtown West/W 39th St-Pier 79",8402,1,84,139
"SG",1,5463,"Midtown West/W 39th St-Pier 79",8103,1,81,139
"SG",1,5464,"Midtown West/W 39th St-Pier 79",8203,1,82,139
"SG",1,5465,"Midtown West/W 39th St-Pier 79",8304,1,83,139
"SG",1,5466,"Midtown West/W 39th St-Pier 79",8404,1,84,139
"SG",1,5467,"Midtown West/W 39th St-Pier 79",8105,1,81,139
"SG",1,5468,"Midtown West/W 39th St-Pier 79",8205,1,82,139
"SG",1,5469,"Midtown West/W 39th St-Pier 79",8406,1,84,139
"SG",1,5470,"Midtown West/W 39th St-Pier 79",8107,1,81,139
"SG",1,5471,"Midtown West/W 39th St-Pier 79",8207,1,82,139
"SG",1,5472,"Midtown West/W 39th St-Pier 79",8408,1,84,139
"SG",1,5473,"Midtown West/W 39th St-Pier 79",8109,1,81,139
"SG",1,5474,"Midtown West/W 39th St-Pier 79",8209,1,82,139
"SG",1,5475,"Midtown West/W 39th St-Pier 79",8410,1,84,139
"SG",1,5476,"Midtown West/W 39th St-Pier 79",8306,1,83,139
"SG",1,5477,"Midtown West/W 39th St-Pier 79",8111,1,81,139
"SG",1,5478,"Midtown West/W 39th St-Pier 79",8211,1,82,139
"SG",1,5479,"Midtown West/W 39th St-Pier 79",8412,1,84,139
"SG",1,5480,"Midtown West/W 39th St-Pier 79",8308,1,83,139
"SG",5,5481,"Wall St./Pier 11",8201,0,82,138
"SG",5,5482,"Wall St./Pier 11",8301,0,83,138
"SG",5,5483,"Wall St./Pier 11",8102,0,81,138
"SG",5,5484,"Wall St./Pier 11",8203,0,82,138
"SG",5,5485,"Wall St./Pier 11",8303,0,83,138
"SG",5,5486,"Wall St./Pier 11",8104,0,81,138
"SG",5,5487,"Wall St./Pier 11",8205,0,82,138
"SG",5,5488,"Wall St./Pier 11",8305,0,83,138
"SG",5,5489,"Wall St./Pier 11",8106,0,81,138
"SG",5,5490,"Wall St./Pier 11",8207,0,82,138
"SG",5,5491,"Wall St./Pier 11",8307,0,83,138
"SG",5,5492,"Wall St./Pier 11",8108,0,81,138
"SG",5,5493,"Wall St./Pier 11",8209,0,82,138
"SG",5,5494,"Wall St./Pier 11",8309,0,83,138
"SG",5,5495,"Midtown West/W 39th St-Pier 79",8101,1,81,139
"SG",5,5496,"Midtown West/W 39th St-Pier 79",8202,1,82,139
"SG",5,5497,"Midtown West/W 39th St-Pier 79",8302,1,83,139
"SG",5,5498,"Midtown West/W 39th St-Pier 79",8103,1,81,139
"SG",5,5499,"Midtown West/W 39th St-Pier 79",8204,1,82,139
"SG",5,5500,"Midtown West/W 39th St-Pier 79",8304,1,83,139
"SG",5,5501,"Midtown West/W 39th St-Pier 79",8105,1,81,139
"SG",5,5502,"Midtown West/W 39th St-Pier 79",8206,1,82,139
"SG",5,5503,"Midtown West/W 39th St-Pier 79",8306,1,83,139
"SG",5,5504,"Midtown West/W 39th St-Pier 79",8107,1,81,139
"SG",5,5505,"Midtown West/W 39th St-Pier 79",8208,1,82,139
"SG",5,5506,"Midtown West/W 39th St-Pier 79",8308,1,83,139
"SG",5,5507,"Midtown West/W 39th St-Pier 79",8109,1,81,139
"SG",5,5508,"Midtown West/W 39th St-Pier 79",8210,1,82,139
"AS",1,5509,"East 90th St",4301,1,43,107
"AS",1,5510,"East 90th St",4102,1,41,107
"AS",1,5511,"East 90th St",4202,1,42,107
"AS",1,5512,"East 90th St",4303,1,43,107
"AS",1,5513,"East 90th St",4104,1,41,107
"AS",1,5514,"East 90th St",4204,1,42,107
"AS",1,5515,"East 90th St",4305,1,43,107
"AS",1,5516,"East 90th St",4206,1,42,107
"AS",1,5517,"East 90th St",4307,1,43,107
"AS",1,5518,"East 90th St",4208,1,42,107
"AS",1,5519,"East 90th St",4309,1,43,107
"AS",1,5520,"East 90th St",4210,1,42,107
"AS",1,5521,"East 90th St",4311,1,43,107
"AS",1,5522,"East 90th St",4106,1,41,107
"AS",1,5523,"East 90th St",4212,1,42,107
"AS",1,5524,"East 90th St",4313,1,43,107
"AS",1,5525,"East 90th St",4108,1,41,107
"AS",1,5526,"East 90th St",4214,1,42,107
"AS",1,5527,"East 90th St",4315,1,43,107
"AS",1,5528,"Wall St./Pier 11",4101,0,41,108
"AS",1,5529,"Wall St./Pier 11",4201,0,42,108
"AS",1,5530,"Wall St./Pier 11",4302,0,43,108
"AS",1,5531,"Wall St./Pier 11",4103,0,41,108
"AS",1,5532,"Wall St./Pier 11",4203,0,42,108
"AS",1,5533,"Wall St./Pier 11",4304,0,43,108
"AS",1,5534,"Wall St./Pier 11",4105,0,41,108
"AS",1,5535,"Wall St./Pier 11",4205,0,42,108
"AS",1,5536,"Wall St./Pier 11",4306,0,43,108
"AS",1,5537,"Wall St./Pier 11",4207,0,42,108
"AS",1,5538,"Wall St./Pier 11",4308,0,43,108
"AS",1,5539,"Wall St./Pier 11",4209,0,42,108
"AS",1,5540,"Wall St./Pier 11",4310,0,43,108
"AS",1,5541,"Wall St./Pier 11",4211,0,42,108
"AS",1,5542,"Wall St./Pier 11",4312,0,43,108
"AS",1,5543,"Wall St./Pier 11",4107,0,41,108
"AS",1,5544,"Wall St./Pier 11",4213,0,42,108
"AS",1,5545,"Wall St./Pier 11",4314,0,43,108
"AS",1,5546,"Wall St./Pier 11",4109,0,41,108
"AS",1,5547,"Wall St./Pier 11",4215,0,42,108
"SB",1,5549,"Governors Island",3203,0,32,137
"SB",1,5550,"Governors Island",3205,0,32,137
"SB",1,5551,"Governors Island",3207,0,32,137
"SB",1,5552,"Governors Island",3209,0,32,137
"SB",1,5553,"Governors Island",3215,0,32,137
"SB",1,5558,"East 34th Street",3202,1,32,143
"SB",1,5559,"East 34th Street",3204,1,32,136
"SB",1,5560,"East 34th Street",3206,1,32,136
"SB",1,5561,"East 34th Street",3208,1,32,136
"SB",1,5562,"East 34th Street",3214,1,32,136
"SB",1,5563,"East 34th Street",3216,1,32,136
"SB",1,5564,"East 34th Street",3117,1,31,143
"SB",1,5565,"East 34th Street",3218,1,32,143
"SB",1,5566,"East 34th Street",3119,1,31,143
"SB",1,5567,"East 34th Street",3220,1,32,143
"RES",1,5568,"Rockaway",10201,0,102,44
"RES",1,5569,"Rockaway",10103,0,101,44
"RES",1,5570,"Rockaway",10203,0,102,44
"RES",1,5571,"Rockaway",10105,0,101,44
"RES",1,5572,"Rockaway",10205,0,102,44
"RES",1,5573,"Rockaway",10107,0,101,44
"RES",1,5574,"Rockaway",10109,0,101,44
"RES",1,5575,"Rockaway",10207,0,102,44
"RES",1,5576,"Rockaway",10111,0,101,44
"RES",1,5577,"Rockaway",10209,0,102,44
"RES",1,5578,"Rockaway",10113,0,101,44
"RES",1,5579,"Rockaway",10211,0,102,44
"RES",1,5580,"Rockaway East",10202,1,102,132
"RES",1,5581,"Rockaway East",10104,1,101,132
"RES",1,5582,"Rockaway East",10204,1,102,132
"RES",1,5583,"Rockaway East",10106,1,101,132
"RES",1,5584,"Rockaway East",10206,1,102,132
"RES",1,5585,"Rockaway East",10108,1,101,132
"RES",1,5586,"Rockaway East",10110,1,101,132
"RES",1,5587,"Rockaway East",10208,1,102,132
"RES",1,5588,"Rockaway East",10112,1,101,132
"RES",1,5589,"Rockaway East",10210,1,102,132
"RES",1,5590,"Rockaway East",10114,1,101,132
"RES",1,5591,"Rockaway East",10212,1,102,132
"RWS",1,5592,"Rockaway",20103,0,201,27
"RWS",1,5593,"Rockaway",20105,0,201,27
"RWS",1,5594,"Rockaway",20107,0,201,27
"RWS",1,5595,"Rockaway",20109,0,201,27
"RWS",1,5596,"Rockaway",20111,0,201,27
"RWS",1,5597,"Rockaway",20113,0,201,27
"RWS",1,5598,"Rockaway",20115,0,201,27
"RWS",1,5599,"Rockaway",20117,0,201,27
"RWS",1,5600,"Rockaway",20119,0,201,27
"RWS",1,5601,"Rockaway",20121,0,201,27
"RWS",1,5602,"Rockaway",20123,0,201,27
"RWS",1,5603,"Rockaway",20125,0,201,27
"RWS",1,5604,"Rockaway West",20104,1,201,35
"RWS",1,5605,"Rockaway West",20106,1,201,35
"RWS",1,5606,"Rockaway West",20108,1,201,35
"RWS",1,5607,"Rockaway West",20110,1,201,35
"RWS",1,5608,"Rockaway West",20112,1,201,35
"RWS",1,5609,"Rockaway West",20114,1,201,35
"RWS",1,5610,"Rockaway West",20116,1,201,35
"RWS",1,5611,"Rockaway West",20118,1,201,35
"RWS",1,5612,"Rockaway West",20120,1,201,35
"RWS",1,5613,"Rockaway West",20122,1,201,35
"RWS",1,5614,"Rockaway West",20124,1,201,35
"RWS",1,5615,"Rockaway West",20126,1,201,35
